Top pages,Clicks,Impressions,CTR,Position
https://unireal.study/en,2,18,11.11%,15.44
https://unireal.study/en/study-in/romania,1,8,12.5%,36.75
https://unireal.study/ro/fields/psychology/poland,1,2,50%,4
https://unireal.study/en/universities/radboud-university,0,42,0%,65.9
https://unireal.study/fa/universities/tarbiat-modares-university,0,26,0%,43.42
https://unireal.study/ro/universities/university-of-constanta-medical-school,0,23,0%,47.09
https://unireal.study/en/universities/khalifa-university-of-science-technology-and-research,0,14,0%,57.14
https://unireal.study/fa/universities/universite-libre-de-bruxelles,0,13,0%,23
https://unireal.study/fa/universities/west-university-of-timisoara,0,8,0%,60.5
https://unireal.study/fa/blog/2026-06-05-us-international-student-enrollment-shows-slight-decline-ami,0,7,0%,5
https://unireal.study/en/universities/keimyung-university,0,7,0%,38.29
https://unireal.study/en/universities/mashhad-university-of-medical-sciences,0,7,0%,57.43
https://unireal.study/en/fields/psychology/hungary,0,6,0%,73.67
https://unireal.study/en/universities/stenden-university,0,6,0%,76.67
https://unireal.study/ro/study-in/romania,0,5,0%,12.6
https://unireal.study/en/universities/universidad-nacional-mayor-de-san-marcos,0,5,0%,13.6
https://unireal.study/en/universities/corvinus-university-of-budapest,0,5,0%,47
https://unireal.study/fa/universities/georgetown-university,0,4,0%,6
https://unireal.study/ro/universities/universiti-islam-antarabangsa-sultan-abdul-halim-mu-adzam-shah,0,4,0%,29.75
https://unireal.study/fa/universities/keimyung-university,0,3,0%,6.67
https://unireal.study/en/universities/nova-school-of-science-and-technology,0,3,0%,8.33
https://unireal.study/fa/fields/pharmacy/romania,0,3,0%,9.33
https://unireal.study/en/universities/universidad-nacional-andres-bello,0,3,0%,34.67
https://unireal.study/en/universities/university-of-petrosani,0,3,0%,51
https://unireal.study/en/universities/university-of-miskolc,0,3,0%,53.67
https://unireal.study/en/universities/roskilde-university,0,3,0%,60
https://unireal.study/en/universities/universite-du-quebec-en-outaouais,0,3,0%,64.67
https://unireal.study/en/universities/purdue-university,0,3,0%,66.67
https://unireal.study/ro/universities/police-academy-in-bratislava,0,2,0%,1
https://unireal.study/en/universities,0,2,0%,4.5
https://unireal.study/fa/universities/sendai-university,0,2,0%,5
https://unireal.study/en/fields/medicine/romania,0,2,0%,5.5
https://unireal.study/en/universities/technical-university-of-poznan,0,2,0%,6.5
https://unireal.study/fa/universities/universidade-de-aveiro,0,2,0%,8.5
https://unireal.study/fa/fields/engineering/moldova,0,2,0%,11
https://unireal.study/fa/universities/anhui-university,0,2,0%,11.5
https://unireal.study/en/universities/university-of-pretoria,0,2,0%,28
https://unireal.study/en/universities/universite-laval,0,2,0%,35.5
